"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj344","raccoon","raccoon",0.9,0.04,5,0.16,1079,2,7,0
"obj345","radio","radio",1,0,4,0.12,1007,3,5,4.489
"obj346","radish","radish",0.72,0.12,7,0.42,1768,2,6,0.693
"obj347","rain","rain",0.92,0.04,3,0.11,891,1,4,4.29
"obj348","rainbow","rainbow",0.96,0,2,0.02,1004,2,7,2.079
"obj349","rake","rake",1,0,2,0.02,828,1,4,1.099
"obj350","razor","razor",0.98,0,3,0.02,1089,2,5,2.303
"obj351","recordplayer","recordplayer",0.96,0.04,5,0.13,1040,4,12,0
"obj352","refrigerator","refrigerator",1,0,3,0,842,5,12,2.398
"obj353","rhinoceros","rhinoceros",0.96,0.02,6,0.08,998,4,10,1.099
"obj354","gun","gun",0.98,0.02,2,0.29,848,1,3,4.605
"obj355","ring","ring",1,0,1,0,785,1,4,1.386
"obj356","road","road",1,0,3,0,925,1,4,5.521
"obj357","robot","robot",1,0,2,0.02,793,2,5,2.079
"obj358","rock","rock",0.98,0.02,2,0.02,910,1,4,4.762
"obj359","rocket","rocket",1,0,3,0,854,2,6,2.708
"obj360","rockingchair","rockingchair",1,0,4,0,878,3,12,0
"obj361","rollerskate","rollerskate",0.98,0,3,0,844,3,11,0
"obj362","rollingpin","rollingpin",0.94,0.06,4,0.09,1113,3,10,0
"obj363","roof","roof",0.98,0,3,0.04,1094,1,4,4.043
"obj364","rooster","rooster",0.98,0,4,0.45,1175,2,7,0.693
"obj365","rope","rope",1,0,1,0,810,1,4,3.761
"obj366","rose","rose",0.98,0,2,0.24,870,1,4,3.091
"obj367","rug","rug",1,0,3,0.22,964,1,3,2.773
"obj368","ruler","ruler",1,0,1,0,779,2,5,2.944
"obj369","saddle","saddle",0.98,0.02,1,0,1019,2,6,2.398
"obj370","safe","safe",0.92,0.04,7,0.17,1243,1,4,2.079
"obj371","safetypin","safetypin",0.9,0.04,7,0.2,1278,3,9,0.693
"obj372","sailboat","sailboat",0.96,0,4,0.04,1076,2,8,0
"obj373","sailor","sailor",1,0,4,0.1,1031,2,6,2.565
"obj374","salt","salt",0.96,0.04,4,0.06,972,1,4,3.638
"obj375","sandwich","sandwich",1,0,1,0,775,2,8,0
"obj376","saw","saw",0.98,0.02,1,0,863,1,3,0.693
"obj377","saxophone","saxophone",0.94,0.04,6,0.15,1061,3,9,0.693
"obj378","scale","scale",0.9,0.1,8,0.22,1387,1,5,4.419
"obj379","scarf","scarf",1,0,2,0.02,1116,1,5,2.565
"obj380","scissors","scissors",0.94,0.02,1,0,741,2,8,1.609
"obj381","scorpion","scorpion",0.96,0.04,4,0.1,1252,2,8,1.099
"obj382","screw","screw",0.98,0,2,0.12,1176,1,5,2.398
"obj383","screwdriver","screwdriver",0.96,0.02,1,0,1179,3,11,1.386
"obj384","seahorse","seahorse",0.82,0.12,5,0.12,1132,2,8,0
"obj385","seal","seal",0.98,0,4,0.18,1115,1,4,2.708
"obj386","seesaw","seesaw",0.96,0.04,3,0.02,1196,2,6,0.693
"obj387","sewingmachine","sewingmachine",1,0,2,0.02,1068,4,13,0
"obj388","shark","shark",0.96,0,3,0.04,1014,1,5,3.045
"obj389","sheep","sheep",0.88,0.02,5,0.36,1269,1,5,3.714
"obj390","shell","shell",1,0,6,0.1,1101,1,5,3.85
"obj391","boat","boat",0.98,0.02,3,0,860,1,4,4.344
"obj392","shirt","shirt",0.98,0,5,0.22,1334,1,5,4.127
"obj393","shoe","shoe",0.98,0,1,0,737,1,4,4.382
"obj394","shoulder","shoulder",1,0,2,0.24,1162,2,8,4.86
"obj395","shovel","shovel",0.98,0.02,1,0,858,2,6,1.609
"obj396","shower","shower",1,0,3,0,897,2,6,3.091
"obj397","sink","sink",0.96,0,3,0.02,984,1,4,2.773
"obj398","skateboard","skateboard",1,0,1,0,823,2,10,0.693
"obj399","skeleton","skeleton",1,0,1,0,817,3,8,2.565
"obj400","skirt","skirt",0.94,0,4,0.23,992,1,5,3.401
"obj401","skis","skis",0.82,0.02,3,0.02,1039,1,4,0
"obj402","skunk","skunk",1,0,2,0.02,1044,1,5,0
"obj403","sled","sled",1,0,2,0,1188,1,4,0.693
"obj404","slide","slide",0.96,0.02,1,0,1003,1,5,2.565
"obj405","slingshot","slingshot",0.9,0.06,5,0.07,1265,2,9,0.693
"obj406","slipper","slipper",0.96,0.02,5,0.33,1256,2,7,2.303
"obj407","smoke","smoke",0.98,0,4,0.16,1221,1,5,3.892
