"picnum","picname","cname","cgoodrt","cnoname","ctype","clex4","crttar","csyll","clnfreq"
"obj296","pan","ping2-di3-guo1",0.82,0.1,6,0.44,1330,3,1.099
"obj297","panda","mao1-xyung2",0.88,0,6,0.32,1508,2,2.197
"obj298","pants","ku4-zi5",0.98,0,3,0.08,779,2,3.761
"obj299","paper","huo2-ie4-zhi3",0.92,0.04,17,0.33,1702,3,0
"obj300","paperclip","hui2-uen2-zhen1",1,0,2,0.02,1083,3,0
"obj301","parachute","jiang4-luo4-san3",0.8,0.06,7,0.38,1535,3,1.386
"obj302","parrot","ing1-u3",0.94,0,2,0.02,1093,2,3.045
"obj303","paw","jiao3",0.78,0.1,16,0.41,1982,1,2.485
"obj304","peach","tao2-zi5",0.86,0.06,8,0.42,2007,2,2.639
"obj305","peacock","kung3-qyue4",0.98,0,1,0,924,2,3.045
"obj306","peanut","hua1-sheng1",0.94,0,4,0.02,1038,2,3.367
"obj307","pear","li2-zi5",0.8,0.1,14,0.73,1329,2,1.099
"obj308","peas","dou4-jia2",0.88,0.06,6,0.52,1436,2,2.944
"obj309","pelican","niao3",0.78,0.14,13,0.23,1878,1,1.099
"obj310","pen","bi3",0.96,0,4,0.4,976,1,3.091
"obj311","pencil","qian1-bi3",0.98,0,2,0.2,853,2,3.367
"obj312","pencilsharpener","xiao1-qian1-bi3-ji1",0.42,0.56,7,0.29,2310,4,0.693
"obj313","penguin","qi4-er2",0.98,0,1,0,1072,2,2.639
"obj314","piano","gang1-qin2",0.96,0,2,0,831,2,4.875
"obj315","picture","hua4",0.96,0.02,10,0.1,1186,1,6.708
"obj316","pig","zhu1",0.98,0,1,0,1029,1,5.263
"obj317","bird","ge1-zi5",0.94,0.04,6,0.36,1450,2,3.97
"obj318","piggybank","pu1-man3",0.96,0,5,0.08,1077,2,2.996
"obj319","pillow","zhen3-tou2",0.88,0.04,1,0,1197,2,3.989
"obj320","pineapple","feng4-li2",0.98,0,2,0,929,2,3.091
"obj321","pinecone","sung1-guo3",0.82,0.12,7,0.34,1689,2,1.386
"obj322","pipe","ian1-dou3",0.94,0,1,0,958,2,1.946
"obj323","pirate","hai3-dao4",0.88,0.02,5,0.23,1471,2,3.091
"obj324","pitcher","ping2-zi5",0.76,0.06,13,0.63,1480,2,2.565
"obj325","pitchfork","cha1-zi5",0.78,0.12,7,0.28,1361,2,2.398
"obj326","pizza","pi1-sa4",0.9,0.06,8,0.18,1602,2,6.061
"obj327","plate","pan2-zi5",0.92,0,4,0.11,1127,2,3.761
"obj328","pliers","qian2-zi5",0.84,0.1,7,0.17,1317,2,0
"obj329","plug","cha1-tou2",0.94,0.02,2,0.04,1038,2,1.386
"obj330","policeman","jing3-cha2",0.9,0.04,11,0.51,1514,2,5.765
"obj331","pool","iu2-yung3-chi2",0.96,0,1,0,1005,3,4.431
"obj332","popcorn","bao4-mi3-hua1",0.82,0.1,8,0.17,1096,3,0.693
"obj333","popsicle","cha1-tou2",0.42,0.48,6,0.57,1591,2,2.996
"obj334","porcupine","ci4-ui4",0.82,0.02,5,0.05,1240,2,1.099
"obj335","pot","guo1-zi5",0.84,0.1,8,0.36,1298,2,3.258
"obj336","potato","ma3-ling2-shu3",0.52,0.36,7,0.46,1629,3,2.079
"obj337","present","li3-u4",0.94,0,3,0.04,978,2,5.069
"obj338","priest","shen2-fu4",0.9,0,7,0.53,1413,2,3.611
"obj339","pumpkin","nan2-gua1",0.86,0.04,5,0.12,1134,2,1.792
"obj340","purse","pi2-bao1",0.94,0,6,0.13,1007,2,3.761
"obj341","pyramid","jin1-zi4-ta3",0.96,0,1,0,991,3,3.045
"obj342","queen","nyu3-uang2",0.94,0,4,0.09,1094,2,4.06
"obj343","rabbit","tu4-zi5",0.98,0,3,0,805,2,3.664
"obj344","raccoon","uan3-xyung2",0.74,0.18,7,0.62,1946,2,0
"obj345","radio","shou1-in1-ji1",0.8,0.18,5,0.13,1478,3,3.367
"obj346","radish","luo2-bo1",0.62,0.28,14,0.71,2190,2,3.296
"obj347","rain","xia4-yu3",0.94,0,6,0.17,1038,2,4.905
