Duration,Age,Gender,Gender_comfortable_1,Gender_masc_1,Gender_fem_1,Gender_stability_1,Sexual_strength_1,Sexual_fewq_1,Sexual_gender_1,Romantic_strength_1,Romantic_freq_1,Romantic_gender_1
292,20,Female,9,5,5,9,6,4,6,9,5,6
170,19,Female,8,4,6,8,8,5,8,6,4,8
454,193,Female,9,4,6,8,9,8,9,9,7,9
798,20,Female,9,3,7,9,8,4,2,9,4,6
176,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,18,Female,9,2,8,9,8,5,8,6,2,8
86,21,Male,9,6,3,9,7,6,2,7,4,1
214,20,Female,9,3,7,8,7,5,8,9,4,7
143,19,Female,9,4,6,8,8,6,8,8,9,9
678,19,Female,9,1,9,9,9,5,6,9,6,6
141,18,Male,7,7,6,4,7,8,5,9,8,5
88,19,Female,8,7,5,8,7,8,5,8,9,5
103,20,Male,9,7,2,9,8,6,1,9,2,1
177,19,Male,9,7,3,9,7,4,2,6,3,1
66,20,Other,9,7,3,3,2,2,6,9,6,6
93,20,Female,8,6,6,8,9,9,5,9,9,5
154,19,Male,7,6,8,4,8,7,8,8,8,8
103,20,Female,9,4,8,9,8,8,8,4,2,8
117,25,Female,9,2,7,8,8,8,8,8,8,9
179,20,Female,9,3,7,9,9,9,3,9,9,2
128,21,Female,9,1,9,9,9,9,9,8,8,9
249,19,Female,9,6,8,7,8,7,7,8,7,7
210,20,Male,9,6,3,9,7,4,1,7,7,1
125,19,Other,6,6,7,2,9,7,4,9,6,5
86,20,NA,8,5,5,3,9,9,9,9,9,9
288,19,Male,9,8,4,9,9,9,2,9,7,1
174,18,Female,8,4,6,7,7,7,7,6,3,7
131,20,Female,9,6,7,9,9,6,8,9,6,9
107,18,Female,9,3,7,9,8,8,9,8,8,9
134,19,Female,9,1,8,9,9,6,8,9,5,9
202,21,Female,9,5,5,9,5,4,5,6,4,4
176,51,Female,9,5,5,6,2,5,5,5,5,5
144,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,20,Male,9,6,6,8,9,7,3,8,7,2
119,19,Female,9,4,6,9,5,5,6,5,4,6
135,19,Male,9,6,4,9,5,7,2,2,1,5
117,19,Female,9,4,6,9,9,3,8,9,3,8
101,18,Female,9,4,7,7,7,5,9,8,5,9
87,18,Female,9,2,8,9,5,6,9,7,7,8
143,18,Female,9,3,7,9,8,5,8,9,7,9
105,19,Female,9,5,7,9,9,9,9,9,9,9
79,20,Male,9,3,6,5,6,2,8,9,5,6
158,18,Male,6,5,5,5,9,8,6,9,8,5
1366,18,Female,9,4,5,9,2,1,NA,8,3,5
132,18,Female,9,3,7,9,8,6,7,9,7,9
94,20,Female,9,1,8,6,7,5,8,7,5,8
98,19,Female,9,2,8,9,9,3,9,9,6,9
102,19,Female,9,3,6,8,4,3,4,7,6,4
184,19 years old,Female,9,2,7,7,9,6,9,7,5,9
369,24,Female,9,3,7,9,9,7,8,7,7,8
201,19,Male,9,6,5,5,6,8,2,6,3,2
335,20,Female,9,5,6,7,7,6,8,5,7,8
208,20,Female,9,2,8,9,6,6,8,7,6,8
208,18,Female,9,2,8,9,9,9,9,7,8,9
117,20,Male,9,7,3,9,8,7,1,8,7,1
574,20,Female,9,2,8,9,8,7,9,8,8,9
101,18,Female,9,1,9,9,9,8,8,9,6,9
99,19,Female,9,3,8,9,4,3,6,8,8,4
160,19,Female,9,2,4,6,9,6,2,9,5,3
82,19,Female,9,3,8,9,8,8,8,9,7,9
182,19,Female,7,6,4,6,8,6,2,8,8,2
100,20,Female,9,2,8,9,8,6,9,8,6,9
149,20,Female,9,2,8,9,7,3,9,8,2,9
118,18,Female,9,2,8,9,6,5,8,9,8,8
108,21,Female,9,2,7,9,7,4,9,7,6,9
214,19,Female,9,4,8,9,9,6,6,9,5,4
110,19,Female,9,2,8,9,9,8,8,9,8,6
192,20,Female,9,3,7,9,8,6,9,6,6,9
303,23,Female,3,4,6,8,8,8,3,3,2,7
161,20,Female,9,1,8,9,7,5,9,5,4,9
2306,19,Female,9,6,9,9,5,2,8,9,5,7
85,18,Female,9,5,7,9,9,9,9,8,5,9
