"ID","gender","age","N","E","O","A","C","anx","PD","DL","SUP"
"ID1205",0,2,3.25,3.86,3.7,3.88,2.67,4.41,2.2,2.25,3.63
"ID1206",1,2,2.63,3.86,3.8,4.88,4.78,2.73,3.8,3.63,3.25
"ID1207",1,2,2.63,4.14,3.9,3.13,3.78,5.14,2.6,2.88,3.13
"ID1208",1,2,2.75,2.14,3,3.75,3.44,4.27,3,2.75,2.63
"ID1209",1,2,2.88,3.43,3.2,4.25,3.11,3.99,2.6,3,3.38
"ID1210",1,2,3.88,2.71,4,4.5,3.89,5,3,2.25,2.88
"ID1211",1,2,2.13,4.29,3.5,4.63,4,3.81,2.4,3.25,2.75
"ID1212",1,2,1.5,3.29,4.3,4.63,4.56,4,3.6,3.13,3.25
"ID1213",0,2,1.88,4.86,4.2,3.5,2.78,3.55,4,3.75,3
"ID1214",1,2,2.88,3.71,3,3.75,3.56,2.87,2.6,3.63,4
"ID1215",1,2,3.38,3,3.5,3.63,4.33,4.06,3,2.25,1.38
"ID1216",1,2,1.88,2.57,3.9,3.38,3.89,4.47,3.4,3.5,3.63
"ID1217",0,2,3.13,3.71,4.5,3.5,4.56,4.16,3.6,3.88,3.63
"ID1218",1,2,2.75,3.29,4.5,3.75,3.78,4.12,1.8,2.38,3.5
"ID1219",1,2,1.13,2.14,4.6,4.88,4.56,3.43,3.2,2.88,3.5
"ID1220",1,2,2.63,2.29,3.3,4.5,4.78,5.25,3.2,2,3.88
"ID1221",1,2,2.38,3.71,3.8,2.63,3.22,3.63,2,2.63,3.5
"ID1222",1,2,3.38,3.43,2.4,3.38,4.67,5.42,3.8,3.38,2.75
"ID1223",1,2,4.13,1.71,3.5,3.5,3.44,4.71,3.6,3.25,1.88
"ID1224",1,2,1.5,3.71,4.1,3.75,3.78,3.52,3.4,3.88,2.75
"ID1225",0,2,2.25,3.14,4.2,4.25,4,3.48,2.6,3,3
"ID1226",1,2,3.13,2.29,4.4,4.13,4.89,4.1,3.8,3,2.38
"ID1227",1,2,2.5,3.29,4,4.38,3.56,4.13,2.4,3.25,3.5
"ID1228",1,2,4.13,2.14,4.5,2.88,3.67,5.01,2.6,3.13,3
"ID1229",0,2,2,3.71,4.9,4.75,4.44,4.08,3.6,3.63,3
"ID1230",0,2,1.63,4,4.9,4.25,3.56,3.21,3.4,3.88,1.63
"ID1231",0,2,3.75,1.29,3.2,3.38,3.89,3.94,3,3.75,1.88
"ID1232",1,2,4.75,2.29,3.5,3.75,3.33,5.61,3.4,2.38,2.75
"ID1233",1,2,2,4.14,3.7,4.5,4.44,3.5,2,3.38,2.25
"ID1234",1,2,2.63,4.71,4.5,2.25,3.44,3.84,3.6,1.63,1.88
"ID1235",1,2,2.75,4.14,4.1,3.63,3.67,5.08,4,3.88,2.25
"ID1236",1,2,1.38,4.29,4,4.75,5,2.69,3.6,3.38,3.38
"ID1237",1,2,1.75,4.57,3.6,4.63,4.11,4.43,3.6,2.88,2.75
"ID1238",0,2,1.38,2,3.5,4,4.11,3.55,2.4,3.5,3.13
"ID1239",1,2,2.63,2.86,3.4,4.5,3.44,3.42,2.2,2.88,2.25
"ID1240",0,2,1.5,3.86,4.4,4.5,4.67,3.94,3,3.25,2.75
"ID1241",0,2,2.63,1.71,5,4.13,3.89,4.62,3.2,2.63,2.38
"ID1242",1,2,4.88,1,3.3,2.88,4,6,4,2.13,1
"ID1243",0,2,1,5,3.2,4,4,1.47,1.4,3.5,3.5
"ID1244",0,2,1.38,4.86,2.9,4,4.56,2.5,1.6,2.88,3.5
"ID1245",1,2,3.63,1.14,2.9,4.13,3.78,3.15,3.6,3,2.63
