"picnum","ename","gname","sname","iname","bname","hname","cname","egoodrt","ggoodrt","sgoodrt","igoodrt","bgoodrt","hgoodrt","cgoodrt","enoname","gnoname","snoname","inoname","bnoname","hnoname","cnoname","ebadrt","gbadrt","sbadrt","ibadrt","bbadrt","hbadrt","cbadrt","etype","gtype","stype","itype","btype","htype","ctype","elex1","glex1","slex1","ilex1","blex1","hlex1","clex1","elex2","glex2","slex2","ilex2","blex2","hlex2","clex2","elex3","glex3","slex3","ilex3","blex3","hlex3","clex3","elex4","glex4","slex4","ilex4","blex4","hlex4","clex4","erttot","grttot","srttot","irttot","brttot","hrttot","crttot","erttar","grttar","srttar","irttar","brttar","hrttar","crttar","ert2","grt2","srt2","irt2","brt2","hrt2","crt2","ert3","grt3","srt3","irt3","brt3","hrt3","crt3","ert4","grt4","srt4","irt4","brt4","hrt4","crt4","esyll","gsyll","ssyll","isyll","bsyll","hsyll","csyll","echar","gchar","schar","ichar","bchar","hchar","lnefreq","lngfreq","lnsfreq","lnifreq","lnbfreq","lnhfreq","lncfreq"
"obj164","flute","floete","flauta","flauto","flejta","fuvola","di2-zi5",0.98,0.67,0.76,0.7,0.64,0.78,0.82,0.02,0.33,0.24,0.26,0.32,0.14,0.16,0,0,0,0.04,0.04,0.08,0.02,6,5,7,9,8,9,7,0.86,0.8,0.74,0.74,0.63,0.51,0.61,0,0.15,0.03,0.03,0,0,0.32,0,0,0,0.03,0,0,0,0.14,0.05,0.24,0.2,0.38,0.49,0.07,1492,1520,1674,1635,1789,1646,1688,1402,1514,1689,1482,1755,1489,1526,NA,1681,1390,2270,NA,NA,1929,NA,NA,NA,1840,NA,NA,NA,2032,1128,1660,2082,1845,1811,1999,1,2,2,2,2,3,2,5,5,6,6,6,6,1.386,1.792,2.485,1.609,2.85,0,2.708
"obj165","fly","fliege","mosca","mosca","muha","légy","cang1-ing2",1,0.93,1,0.96,0.9,0.98,0.96,0,0,0,0.02,0.02,0,0,0,0.07,0,0.02,0.08,0.02,0.04,3,3.3,3,5,1,5,2,0.9,0.96,0.94,0.81,1,0.88,0.96,0,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0.1,0.04,0.02,0.19,0,0.1,0.04,1081,1039,991,1164,1198,989,1246,1080,1034,988,1111,1198,980,1249,NA,NA,895,NA,NA,1561,NA,NA,NA,NA,NA,NA,NA,NA,1088,1173,1326,1393,NA,952,1188,1,2,2,2,2,1,2,3,6,5,5,4,4,3.611,2.773,3.466,0,4.7,2.996,3.178
"obj166","foot","fuss","pie","piede","krak","láb","jiao3",1,0.97,1,0.98,0.88,1,1,0,0,0,0.02,0,0,0,0,0.03,0,0,0.12,0,0,2,1.7,1,3,5,3,4,0.98,1,1,0.96,0.57,0.64,0.94,0.02,0,0,0.02,0,0.36,0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,0.43,0,0,754,820,837,742,1218,800,941,758,820,837,743,958,723,907,573,NA,NA,866,NA,937,1635,NA,NA,NA,NA,NA,NA,1150,NA,NA,NA,593,1560,NA,NA,1,1,1,2,1,1,1,4,3,3,5,4,3,5.79,4.605,5.958,4.06,5.45,5.7,6.211
"obj167","football","football","balón","pallone","topka","rögbilabda","gan3-lan3-qiu2",1,0.77,0.96,0.96,0.8,0.92,0.98,0,0.2,0,0.04,0.16,0.02,0,0,0.03,0.04,0,0.04,0.06,0.02,1,6.7,7,11,5,5,1,1,0.57,0.54,0.44,0.5,0.48,1,0,0,0.13,0.46,0.45,0.02,0,0,0,0.31,0,0,0,0,0,0.43,0.02,0.1,0.05,0.5,0,723,1487,1191,1309,1549,1351,1076,723,1473,1092,1273,1471,1309,1076,NA,NA,1067,1346,1708,831,NA,NA,NA,1350,NA,NA,NA,NA,NA,1506,2115,1295,907,1413,NA,2,2,2,3,2,4,3,8,8,5,7,5,10,3.526,0,3.807,2.485,5.05,0,2.079
"obj168","fork","gabel","tenedor","forchetta","vilitsa","villa","cha1-zi5",1,0.97,1,0.98,0.96,0.96,0.96,0,0,0,0,0,0,0,0,0.03,0,0.02,0.04,0.04,0.04,1,1.7,2,1,1,1,1,1,1,0.98,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,723,663,904,752,881,763,944,723,663,904,752,881,763,944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,929,NA,NA,NA,NA,1,2,3,3,3,2,2,4,5,7,9,7,5,2.773,1.609,2.565,0,5.4,3.871,2.398
"obj169","fountain","springbrunnen","fuente","fontana","fontan","szököökút","pen1-shui3-chi2",0.98,1,1,0.98,0.96,1,0.94,0,0,0,0.02,0,0,0,0.02,0,0,0,0.04,0,0.06,3,3.3,1,1,2,1,4,0.86,0.97,1,1,0.88,1,0.7,0.12,0,0,0,0,0,0.26,0,0.03,0,0,0.13,0,0,0.02,0,0,0,0,0,0.04,990,1114,1011,1010,1185,1083,1056,966,1110,1011,1010,1144,1083,1036,1203,NA,NA,NA,NA,NA,1136,NA,1224,NA,NA,1469,NA,NA,752,NA,NA,NA,NA,NA,901,2,3,2,3,2,3,3,8,13,6,7,6,8,2.565,0.693,4.934,1.609,3.65,0,1.609
"obj170","fox","fuchs","zorro","volpe","lisitsa","róka","hu2-li2",0.98,1,0.96,0.94,0.86,1,0.96,0.02,0,0.04,0,0.02,0,0.02,0,0,0,0.06,0.12,0,0.02,3,3.3,7,4,2,2,4,0.86,0.97,0.48,0.7,0.95,0.98,0.77,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0.14,0.03,0.35,0.3,0.05,0.02,0.23,988,1057,1258,1190,1133,882,1195,975,1068,1147,1183,1134,854,1227,NA,NA,1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1066,725,1506,1208,1097,2274,1089,1,1,2,2,3,2,2,3,5,5,5,7,4,2.773,2.197,2.565,2.197,3.65,0,3.638
"obj171","frog","frosch","rana","rana","zhaba","béka","qing1-ua1",1,0.97,1,0.98,0.98,0.96,1,0,0,0,0,0,0,0,0,0.03,0,0.02,0.02,0.04,0,1,3.3,2,3,1,1,1,1,0.97,0.88,0.92,1,1,1,0,0,0,0.08,0,0,0,0,0,0.12,0,0,0,0,0,0.03,0,0,0,0,0,751,846,911,955,904,741,864,751,826,882,899,904,741,864,NA,NA,NA,1590,NA,NA,NA,NA,NA,1124,NA,NA,NA,NA,NA,1410,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,4,6,4,4,5,4,2.303,1.609,2.398,0,3.15,0,3.932
"obj172","funnel","trichter","embudo","imbuto","funija","tölcsér","lou4-dou3",0.78,1,0.86,0.94,0.8,0.98,0.92,0.22,0,0.14,0.06,0.04,0.02,0.02,0,0,0,0,0.16,0,0.06,2,1.7,4,1,3,1,3,0.97,1,0.91,1,0.95,1,0.96,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.03,0,0.09,0,0.03,0,0.04,1260,898,1205,938,1080,919,1215,1243,898,1153,938,1070,919,1178,NA,NA,NA,NA,1683,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,NA,1717,NA,872,NA,2012,2,2,3,3,3,2,2,6,8,6,6,6,7,1.099,0.693,1.792,0,3.15,0,1.386
"obj173","trash","muell","basura","rifiuti","bokluk","szemét","le4-se4",0.98,1,0.98,0.9,0.98,0.92,0.92,0,0,0,0.08,0,0.02,0.02,0.02,0,0.02,0.02,0.02,0.06,0.06,6,16.7,5,14,10,10,7,0.43,0.5,0.88,0.31,0.43,0.57,0.63,0,0.13,0,0,0.31,0.2,0.28,0.49,0.07,0,0.31,0.12,0,0,0.08,0.3,0.12,0.38,0.14,0.24,0.09,1183,1298,1246,1610,1407,1433,1326,1123,1086,1157,1340,1315,1268,1352,NA,1586,NA,NA,1295,1871,1231,1173,1483,NA,2006,1509,NA,NA,1563,1484,1888,1506,1838,1464,1445,1,1,3,3,2,2,2,5,4,6,7,6,6,1.609,1.386,4.025,0,5.6,0,6.279
